airport_code,name,phone,unicom,website,jet_a_price,avgas_price,crew_cars,crew_lounge,catering,maintenance,hangars,deice,oxygen,gpu,lav,handling_fee,overnight_fee,ramp_fee,ramp_fee_waived
KATL,Signature Aviation,404-761-1960,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KLAX,Signature Aviation,310-410-9605,130.60,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KLAX,Atlantic,310-258-9884,131.60,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KORD,Signature Aviation,773-686-7000,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KDEN,Signature Aviation,303-342-5600,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KJFK,Modern Aviation,347-566-6620,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KSFO,Signature Aviation,650-877-6800,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KLAS,Signature Aviation,702-739-1100,128.875,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KLAS,Atlantic,702-736-1830,128.85,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KSEA,Signature Aviation,206-433-5481,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KMCO,Signature Aviation,407-825-6999,130.375,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KMCO,Atlantic,407-851-8304,130.90,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KEWR,Signature Aviation,973-624-1660,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KPHX,Jackson Jet Center,602-273-3770,132.00,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KPHX,Cutter Aviation,602-273-1237,128.875,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KMIA,Signature Aviation,305-874-1477,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KIAH,Signature Aviation,281-209-2673,131.60,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KIAH,Atlantic,281-443-3434,129.025,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KBOS,Signature Aviation,617-561-2500,130.25,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KMSP,Signature Aviation,612-726-5700,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KDTW,Signature Aviation,734-941-7880,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KFLL,Fontainebleau Aviation A Skyservice Company,954-887-6787,130.975,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KFLL,Signature Aviation,954-359-0000,129.725,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KFLL,National Jets,954-359-0066,132.00,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KFLL,Sheltair,954-359-3200,130.10,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KPHL,Atlantic Aviation,215-492-7060,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KLGA,Modern Aviation,718-779-4040,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KBWI,Signature Aviation,410-859-8393,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KSLC,Signature Aviation,801-359-2085,130.875,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KSLC,Atlantic,385-715-7192,130.625,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KDCA,Signature Aviation,703-417-3500,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KSAN,Signature Aviation,619-298-7704,129.975,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KTPA,Signature Aviation,813-870-3813,130.00,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KTPA,Sheltair,813-319-8000,130.60,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KAUS,Signature Aviation,512-530-5451,130.375,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KAUS,Million Air Austin,737-208-1400,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KAUS,Atlantic,512-382-8810,130.225,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KMDW,Signature Aviation,773-767-4400,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KMDW,Atlantic Aviation,773-582-5720,131.425,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KSTL,Signature Aviation,314-731-7111,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KBNA,Signature Aviation,615-361-3000,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KBNA,Atlantic,615-360-8109,131.60,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KOAK,Signature Aviation,510-633-1266,130.575,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KOAK,Kaiserair,510-569-9622,129.75,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KSMF,Modern Aviation International,916-235-9167,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KPDX,Atlantic Aviation,503-331-4220,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KSJC,Signature Aviation,669-800-1992,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KSJC,Atlantic,408-297-7552,129.80,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KMCI,Signature Aviation,816-243-6440,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KCLT,Modern Aviation,704-359-0440,129.40,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KRDU,Signature Aviation,919-840-2200,131.15,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KRDU,Atlantic,919-532-1423,131.00,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KSAT,Signature Aviation,210-828-0551,130.00,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KSAT,Skyplace Fbo,210-805-3130,129.85,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KSAT,Million Air,210-828-8181,129.625,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KCLE,Atlantic Aviation,216-362-1500,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KCLE,Jets,216-340-1295,130.625,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KPIT,Atlantic Aviation,412-472-6700,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KIND,Signature Aviation,317-248-4900,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KIND,Million Air,317-554-8400,130.575,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KCMH,Signature Aviation,614-238-3900,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KCMH,Lane,614-237-3747,131.35,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KPBI,Jet Aviation Palm Beach,561-233-7200,130.375,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KPBI,Signature South,561-478-8700,128.975,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KPBI,Atlantic,561-683-4121,131.425,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KABQ,Atlantic Aviation,505-842-4990,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KABQ,Cutter Aviation,505-842-4184,128.875,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KONT,Guardian Jet Center,909-605-6366,130.75,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KSNA,Clay Lacy Aviation,714-888-8000,131.375,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KSNA,Aci Jet Southouth,949-201-2560,131.575,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KSNA,Jay's Air Center,949-279-3177,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KSNA,Jays Air Center,,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KSNA,ACI Jet North,949-201-2550,131.10,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KBUR,Hollywood Burbank Jet Center,818-843-8311,129.625,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KBUR,Atlantic Aviation,818-841-2966,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KFAT,Signature Aviation,559-981-2490,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KFAT,Atlantic,559-251-1555,131.975,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KTEB,Signature Aviation South,201-288-3555,130.60,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KTEB,Atlantic Aviation,201-288-1740,132.00,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KTEB,Signature South,,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KTEB,Signature East,201-393-4041,130.15,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KTEB,Signature West,201-288-1880,131.525,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KTEB,Jet Aviation,201-462-4000,131.425,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KVNY,Castle & Cooke Aviation Services,818-988-8385,128.95,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KVNY,Jet Aviation Van Nuys,818-722-5103,131.40,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KVNY,Clay Lacy Aviation,818-989-2900,130.35,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KVNY,Signature West,818-464-9500,130.575,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KVNY,The Park VNY,818-902-2123,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KHPN,Signature Aviation (west),914-428-3730,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KHPN,Million Air White Plains,914-946-0100,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KHPN,Signature East,914-682-7770,132.00,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KHPN,Atlantic East,914-761-3000,129.60,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KSDL,"Jet Aviation Scottsdale, LLC",480-866-8270,131.50,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KSDL,Signature Aviation,480-951-2525,131.175,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KSDL,Atlantic,480-948-2400,129.70,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KAPA,Signature Aviation - South,303-799-8388,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
KAPA,The Heliplex,303-799-0079,,,,,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Unknown
